Area,Temperature,Vegetation,Latitude,Longitude,City
Whitefield,41,0.24,12.9698,77.7499,Bengaluru
Electronic City,40,0.28,12.8456,77.6603,Bengaluru
Koramangala,39,0.32,12.9352,77.6245,Bengaluru
Indiranagar,38,0.35,12.9784,77.6408,Bengaluru
Yelahanka,37,0.45,13.1007,77.5963,Bengaluru
Jayanagar,38,0.40,12.9250,77.5938,Bengaluru
Hebbal,39,0.34,13.0358,77.5970,Bengaluru
BTM Layout,40,0.27,12.9166,77.6101,Bengaluru
Marathahalli,40,0.25,12.9591,77.6974,Bengaluru
Rajajinagar,38,0.36,12.9910,77.5560,Bengaluru
Banashankari,37,0.42,12.9255,77.5468,Bengaluru
HSR Layout,39,0.31,12.9116,77.6474,Bengaluru
Malleshwaram,38,0.38,13.0030,77.5700,Bengaluru
Bellandur,41,0.22,12.9254,77.6762,Bengaluru
KR Puram,40,0.26,13.0077,77.6955,Bengaluru
