Area,Temperature,Vegetation,Latitude,Longitude,City
Chennai Central,43,0.15,13.0827,80.2707,Chennai
T Nagar,40,0.25,13.0418,80.2337,Chennai
Anna Nagar,39,0.30,13.0849,80.2101,Chennai
Velachery,38,0.35,12.9815,80.2209,Chennai
Tambaram,37,0.40,12.9249,80.1000,Chennai
Adyar,38,0.42,13.0067,80.2574,Chennai
Guindy,39,0.31,13.0100,80.2200,Chennai
Kodambakkam,40,0.28,13.0524,80.2255,Chennai
Mylapore,38,0.33,13.0338,80.2695,Chennai
Perungudi,41,0.22,12.9634,80.2411,Chennai
Sholinganallur,37,0.45,12.9010,80.2279,Chennai
Porur,39,0.29,13.0381,80.1565,Chennai
Pallavaram,38,0.37,12.9675,80.1491,Chennai
Ambattur,40,0.26,13.1143,80.1548,Chennai
Perambur,39,0.27,13.1187,80.2326,Chennai
